Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
do what's in your heart (10oz),BEVERAGE,ALCOHOL,10OZ DRAUGHT,91,4.8,7,637,637
kitty paws sour ipa 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,9,0.47,7,63,63
field artillery,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,9,0.47,24.33,219,200
brute squad 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,9,0.47,4,36,36
socially acceptable,BEVERAGE,ALCOHOL,10OZ DRAUGHT,8,0.42,6,48,48
identity cri?i?: coconut 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,8,0.42,4,32,32
knotty pretzels: bbq,FOOD,FOOD,FOOD,8,0.42,7,56,56
hangover pretzels: brown sugar cinnamon,FOOD,FOOD,FOOD,8,0.42,8,64,64
movie quotes hoppy lager 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,77,4.06,7,539,539
robot insurance 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,73,3.85,7,511,507.5
do what's in your heart 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,7,0.37,4,28,26
barrel-aged stouty mcstoutface 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,7,0.37,4,28,26
knotty pretzels: hot wings,FOOD,FOOD,FOOD,7,0.37,7,49,49
knotty pretzels: honey mustard,FOOD,FOOD,FOOD,7,0.37,7,49,49
knotty pretzels: chile lime,FOOD,FOOD,FOOD,7,0.37,7,49,49
knotty pretzels: cheddar bacon,FOOD,FOOD,FOOD,7,0.37,7,49,49
crispy boi lager 4-pack 16oz cans,RETAIL,RETAIL,PACKAGED GOODS,69,3.64,16,1104,1104
4-beer flight,BEVERAGE,ALCOHOL,BEER FLIGHTS,688,36.27,9,6192,6168.5
identity cri?i?: coconut 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,64,3.37,7,448,441
blood orange blonde ale 16oz 4-pack,RETAIL,RETAIL,PACKAGED GOODS,64,3.37,16,1024,1024
stouty mcstoutface 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,6,0.32,8,48,48
identity cri?i?: coconut 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,6,0.32,19,114,111
blood orange w/ hibiscus,BEVERAGE,ALCOHOL,4OZ DRAUGHT,6,0.32,4,24,24
10oz belgian glass,RETAIL,RETAIL,MERCHANDISE,6,0.32,7,42,42
crispy boi 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,58,3.06,7.24,420,420
low orbit 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,566,29.84,8.06,4560,4529.1
socially acceptable,BEVERAGE,ALCOHOL,16OZ DRAUGHT,56,2.95,7,392,389.46
